Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD5000BPKT,WD,Black 2.5" 500GB (2011),272,53,2764,http://hdd.userbenchmark.com/SpeedTest/2036/WDC-WD5000BPKT-60PK4T0
HDD,WD5000BPKX,WD,Black 2.5" 500GB (2013),273,52.7,1060,http://hdd.userbenchmark.com/SpeedTest/3355/WDC-WD5000BPKX-75HPJT0
HDD,WD6400AAKS,WD,Blue 640GB (2008),274,52.7,17223,http://hdd.userbenchmark.com/SpeedTest/2174/WDC-WD6400AAKS-22A7B2
HDD,WD10SPCX,WD,Blue 2.5" 1TB (2013),275,52.6,12001,http://hdd.userbenchmark.com/SpeedTest/3227/WDC-WD10SPCX-22HWST0
HDD,WD7500AZRX,WD,Green 750GB (2012),276,52.6,233,http://hdd.userbenchmark.com/SpeedTest/1925/WDC-WD7500AZRX-00A8LB0
HDD,WD5000LPCX,WD,Blue 2.5" 500GB (2013),277,52.2,6366,http://hdd.userbenchmark.com/SpeedTest/6849/WDC-WD5000LPCX-24C6HT0
HDD,,Toshiba,MQ02ABF100 1TB,278,52.1,1267,http://hdd.userbenchmark.com/SpeedTest/11528/TOSHIBA-MQ02ABF100
HDD,ST31500341AS,Seagate,Barracuda 7200.11 1.5TB,279,52.1,9741,http://hdd.userbenchmark.com/SpeedTest/864/ST31500341AS
HDD,,Maxtor,S TM3320613AS 320GB,280,52.1,58,http://hdd.userbenchmark.com/SpeedTest/10528/MAXTOR-S-TM3320613AS
HDD,,Toshiba,MQ01ABD100 1TB,281,52,44609,http://hdd.userbenchmark.com/SpeedTest/784/TOSHIBA-MQ01ABD100
HDD,,WD,WD10JPCX-24UE4T0 1TB,282,52,6693,http://hdd.userbenchmark.com/SpeedTest/11224/WDC-WD10JPCX-24UE4T0
HDD,,WD,WD2002FYPS-01U1B0 2TB,283,51.9,612,http://hdd.userbenchmark.com/SpeedTest/3788/WDC-WD2002FYPS-01U1B0
HDD,,,VB0250EAVER 250GB,284,51.9,379,http://hdd.userbenchmark.com/SpeedTest/1098/VB0250EAVER
HDD,WD20EARS,WD,Green 2TB (2010),285,51.8,1587,http://hdd.userbenchmark.com/SpeedTest/2609/WDC-WD20EARS-00M
HDD,,Seagate,ST500LM000-SSHD-8GB 500GB,286,51.8,2380,http://hdd.userbenchmark.com/SpeedTest/9154/ST500LM000-SSHD-8GB
HDD,,Samsung,HD105SI 1TB,287,51.8,998,http://hdd.userbenchmark.com/SpeedTest/2699/SAMSUNG-HD105SI
HDD,MQ02ABD100H,Toshiba,Notebook SSHD 2.5" 1TB,288,51.7,3716,http://hdd.userbenchmark.com/SpeedTest/24488/TOSHIBA-MQ02ABD100H
HDD,,Hitachi,HTS72757 750GB,289,51.7,91,http://hdd.userbenchmark.com/SpeedTest/4050/Hitachi-HTS72757
HDD,,Samsung,HD321HJ 320GB,290,51.7,772,http://hdd.userbenchmark.com/SpeedTest/6799/SAMSUNG-HD321HJ
HDD,,WD,WD3202ABYS-02B7A0 320GB,291,51.7,221,http://hdd.userbenchmark.com/SpeedTest/8044/WDC-WD3202ABYS-02B7A0
HDD,ST320DM000,Seagate,Barracuda 7200.14 320GB,292,51.6,552,http://hdd.userbenchmark.com/SpeedTest/2924/ST320DM000-1BD14C
HDD,,Seagate,ST31000333AS 1TB,293,51.6,3181,http://hdd.userbenchmark.com/SpeedTest/1279/ST31000333AS
HDD,,Samsung,HD102UJ 1TB,294,51.6,115,http://hdd.userbenchmark.com/SpeedTest/7223/SAMSUNG-HD102UJ
HDD,ST3750525AS,Seagate,Barracuda 7200.12 750GB,295,51.6,951,http://hdd.userbenchmark.com/SpeedTest/562/ST3750525AS
HDD,ST750LX003,Seagate,Momentus XT 7200 RPM 2.5" 750GB,296,51.5,2459,http://hdd.userbenchmark.com/SpeedTest/840/ST750LX003-1AC154
HDD,WD1001X06X,WD,Black2 2.5" 1.120 TB (2013),297,51.5,507,http://hdd.userbenchmark.com/SpeedTest/5448/WDC-WD1001X06X-00SJVT0
HDD,WD20EARX,WD,Green 2TB (2011),298,51.4,32612,http://hdd.userbenchmark.com/WD-Green-2TB-2011/Rating/1850
